pred_decile,n,mean_pred,mean_actual,mean_price,mean_outcome
0,861,-0.03217654412732266,-0.046691056910569115,0.659931475029036,0.6132404181184669
1,860,-0.018600321831076745,-0.01819941860465117,0.6635482558139536,0.6453488372093024
2,860,-0.01163153139788691,0.007854069767441848,0.6607505813953488,0.6686046511627907
3,860,-0.004665129685781247,-0.0019395348837209423,0.6054279069767442,0.6034883720930233
4,860,0.003668845123623431,0.00241627906976744,0.4278162790697675,0.43023255813953487
5,860,0.012207831834097719,0.00032383720930232644,0.13107151162790698,0.1313953488372093
6,860,0.018669589583049075,0.03769127906976744,0.07626220930232558,0.11395348837209303
7,860,0.025466379538603513,0.023240697674418605,0.1453639534883721,0.1686046511627907
8,860,0.03465544992831568,0.03545697674418605,0.23314767441860465,0.2686046511627907
9,860,0.0438167972711015,0.06429651162790698,0.24268023255813956,0.30697674418604654
