model,brier,rmse_residual,r2_residual
naive_0.5,0.25,,
market_baseline,0.16499280013951864,,
elasticnet,0.16466097150865602,0.4057843904201541,0.0013516793446419761
random_forest,0.16409680250116015,0.4050887134218411,0.004772910688164211
